venue_name,match_id,match_home_team,match_away_team,match_date,match_local_time,match_attendance,match_round,match_home_team_goals,match_home_team_behinds,match_home_team_score,match_away_team_goals,match_away_team_behinds,match_away_team_score,match_margin,match_winner,match_weather_temp_c,player_id,player_first_name,player_last_name,player_team,kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,player_position,player_name,position_group,won_match,round_number,weather_MOSTLY_SUNNY,weather_OVERCAST,weather_RAIN,weather_SUNNY,weather_THUNDERSTORMS,weather_WINDY,is_home,match_closeness,team_score,opponent_score
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12419,Tom,Papley,Sydney,15,4,5,20,13,65,1,1,0,3,1,4,3,1,1,0,0,10,9,0,2,3,0,0,81,87,1,2,9,404,4,2,2,0,0,0,0,7,8,4,7,0,0.0,0,3,19,19.0,0,1,4,1,FPL,Tom Papley,FWD,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12423,Josh,Schache,Melbourne,3,2,1,4,1,25,0,2,1,2,0,0,0,1,1,0,0,2,3,0,1,3,0,0,76,29,0,0,2,62,1,1,2,0,0,2,0,4,1,1,1,1,7.1,1,0,8,2.7,14,1,2,3,CHF,Josh Schache,FWD,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12437,Christian,Petracca,Melbourne,11,1,15,26,18,69,1,2,0,3,0,3,3,3,1,0,0,13,12,0,0,3,0,1,84,87,2,1,8,326,4,5,2,0,0,1,0,3,5,4,11,0,0.0,0,0,15,18.6,0,3,4,1,C,Christian Petracca,MID,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12501,Oliver,Florent,Sydney,10,3,8,18,12,67,1,0,0,2,7,2,3,1,0,0,0,8,8,0,0,1,0,0,91,69,0,3,1,374,6,5,0,0,0,0,0,11,6,0,7,0,0.0,0,0,14,12.2,0,0,1,1,CHB,Oliver Florent,DEF,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12515,Robbie,Fox,Sydney,6,2,3,9,5,56,1,1,0,6,0,0,1,4,2,2,0,5,4,0,0,4,0,0,91,57,0,1,2,90,5,1,4,0,0,3,0,4,3,2,3,0,0.0,0,0,20,4.4,0,0,3,3,FF,Robbie Fox,FWD,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12516,Will,Hayward,Sydney,8,4,2,10,6,60,2,0,0,2,1,0,0,2,0,0,0,2,9,0,2,4,0,0,83,60,0,0,3,195,3,0,1,0,1,0,0,1,5,2,2,0,0.0,0,2,12,9.6,0,0,4,3,FPR,Will Hayward,FWD,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12533,Lewis,Melican,Sydney,4,2,1,5,5,100,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,6,0,0,80,20,0,0,2,47,0,5,0,0,0,0,0,2,4,0,1,0,0.0,2,0,2,6.6,0,2,0,4,BPL,Lewis Melican,DEF,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12603,Bayley,Fritsch,Melbourne,6,2,0,6,5,83,4,1,0,3,0,0,0,2,1,1,0,1,6,0,2,1,0,0,92,59,0,0,5,183,1,0,3,0,0,0,0,1,5,0,0,0,0.0,0,1,11,12.5,0,0,5,1,FF,Bayley Fritsch,FWD,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12628,Charlie,Spargo,Melbourne,5,1,7,12,9,75,0,1,0,2,0,3,0,3,1,2,0,2,10,0,0,0,1,0,77,36,0,0,3,134,4,0,2,0,0,0,0,0,3,0,2,0,0.0,0,0,8,2.5,0,0,1,0,INT,Charlie Spargo,MID,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12634,Tom,McCartin,Sydney,7,7,2,9,7,78,0,0,0,0,1,0,0,3,0,0,0,4,6,1,0,4,0,0,97,46,0,0,1,91,1,6,0,1,2,0,0,6,6,0,3,0,0.0,4,0,7,6.5,0,1,0,4,FB,Tom McCartin,DEF,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12692,Tom,Sparrow,Melbourne,3,2,10,13,12,92,0,0,0,9,1,2,3,6,1,3,0,9,8,0,0,1,0,0,80,63,1,2,3,103,2,4,0,0,0,0,0,11,3,1,6,0,0.0,1,0,31,8.7,0,3,0,0,INT,Tom Sparrow,MID,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12699,Nick,Blakey,Sydney,18,9,8,26,18,69,0,0,0,0,7,6,0,2,2,0,0,6,16,1,0,6,6,2,78,99,0,0,4,529,3,6,0,0,0,0,0,4,13,0,3,0,0.0,2,0,5,15.6,0,1,0,6,HBFL,Nick Blakey,DEF,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12711,Justin,McInerney,Sydney,7,6,13,20,14,70,1,0,1,4,2,1,1,4,0,3,0,6,15,0,0,0,0,0,86,79,0,1,3,129,3,2,0,0,0,1,0,9,6,1,6,0,100.0,0,0,15,7.2,1,1,1,0,INT,Justin McInerney,MID,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12715,James,Rowbottom,Sydney,12,0,9,21,12,57,0,2,0,7,2,5,6,4,2,3,0,14,8,0,0,1,0,0,79,77,1,5,4,343,7,5,2,0,0,0,0,14,5,1,10,0,0.0,0,0,29,11.9,0,2,2,0,R,James Rowbottom,MID,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12745,Hayden,McLean,Sydney,4,2,1,5,3,60,2,2,10,2,0,1,0,5,0,4,0,4,1,1,1,7,0,0,76,40,0,0,4,150,1,2,0,0,1,3,1,2,2,1,2,0,41.7,0,0,13,3.0,24,1,4,5,INT,Hayden McLean,MID,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12756,Kade,Chandler,Melbourne,4,2,7,11,9,82,0,0,0,3,0,3,0,3,0,0,0,5,6,0,0,2,0,0,82,44,0,0,2,145,2,2,3,0,0,2,0,7,3,1,5,0,0.0,0,0,20,5.0,0,0,1,1,INT,Kade Chandler,MID,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12778,Trent,Rivers,Melbourne,10,4,7,17,11,65,0,0,0,0,2,3,1,4,0,1,0,4,12,0,0,2,0,0,80,53,1,0,1,304,4,5,0,0,0,0,0,9,4,0,4,0,0.0,1,0,10,7.3,0,0,0,0,BPL,Trent Rivers,DEF,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12799,Chad,Warner,Sydney,17,4,9,26,19,73,1,1,0,1,1,12,2,7,2,2,0,11,17,0,0,2,1,2,81,88,1,1,8,588,7,2,0,0,0,0,0,9,13,3,9,0,0.0,1,0,18,19.8,0,2,2,1,C,Chad Warner,MID,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12820,Sam,Wicks,Sydney,2,2,3,5,5,100,1,0,0,1,0,0,1,1,0,1,0,4,1,1,1,0,0,0,30,25,0,1,3,47,0,1,0,0,0,2,1,1,2,1,3,0,0.0,0,1,9,8.8,0,0,1,0,SUB,Sam Wicks,UTIL,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12847,Joel,Amartey,Sydney,3,1,0,3,0,0,0,1,2,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,43,23,0,0,1,78,2,0,1,0,0,0,0,2,0,0,0,0,50.0,0,0,5,-2.1,4,0,1,1,HFFR,Joel Amartey,FWD,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12853,James,Jordon,Sydney,8,3,10,18,14,78,0,0,0,7,2,4,2,3,1,2,0,6,13,0,0,2,0,0,71,76,0,2,3,158,3,2,2,0,0,0,0,7,5,0,3,0,0.0,1,0,19,7.7,0,0,0,1,RR,James Jordon,MID,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12863,Logan,McDonald,Sydney,5,3,3,8,4,50,1,0,0,1,0,2,0,3,0,1,0,4,4,2,1,2,0,0,83,37,0,0,5,189,2,1,0,0,0,0,0,4,3,1,1,0,0.0,0,0,9,4.9,0,1,2,1,CHF,Logan McDonald,FWD,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12864,Errol,Gulden,Sydney,16,2,4,20,11,55,0,1,0,2,2,5,2,4,1,1,0,9,14,0,0,2,0,0,89,69,0,2,4,442,8,3,0,0,0,0,0,10,7,0,7,0,0.0,0,0,23,7.8,0,1,1,0,WR,Errol Gulden,MID,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12865,Braeden,Campbell,Sydney,12,7,4,16,12,75,0,0,0,2,2,5,1,2,1,0,0,3,15,0,0,1,0,0,68,74,0,1,2,378,4,4,0,0,0,0,0,7,9,0,1,0,0.0,1,0,10,8.1,0,0,0,0,INT,Braeden Campbell,MID,1,0,0,0,1,0,0,0,1,22,86,64
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12933,Jake,Bowey,Melbourne,13,3,1,14,11,79,0,0,0,1,6,0,0,1,0,0,0,1,9,0,0,1,0,0,48,54,0,0,0,251,2,1,0,0,1,0,0,5,10,0,1,0,0.0,0,1,5,3.5,0,0,0,1,HBFR,Jake Bowey,DEF,0,0,0,0,1,0,0,0,0,22,64,86
SCG,16586,Sydney,Melbourne,2024-03-07,19:30:00,0,Opening Round,12,14,86,9,10,64,22,Sydney,28,12993,Matt,Roberts,Sydney,16,8,3,19,18,95,0,0,0,3,3,1,0,1,1,0,0,1,13,0,0,1,0,0,84,91,0,0,1,260,2,3,0,0,0,0,0,14,15,0,0,0,0.0,1,0,17,2.8,0,1,0,1,WL,Matt Roberts,MID,1,0,0,0,1,0,0,0,1,22,86,64
